DATE,CPIAUCSL
12/31/11,227.842
1/31/12,228.329
2/29/12,228.807
3/31/12,229.187
4/30/12,228.713
5/31/12,228.524
6/30/12,228.59
7/31/12,229.918
8/31/12,231.015
9/30/12,231.638
10/31/12,231.249
11/30/12,231.221
12/31/12,231.679
1/31/13,232.937
2/28/13,232.282
3/31/13,231.797
4/30/13,231.893
5/31/13,232.445
6/30/13,232.9
7/31/13,233.456
8/31/13,233.544
9/30/13,233.669
10/31/13,234.1
11/30/13,234.719
12/31/13,235.288
1/31/14,235.547
2/28/14,236.028
3/31/14,236.468
4/30/14,236.918
5/31/14,237.231
6/30/14,237.498
7/31/14,237.46
8/31/14,237.477
9/30/14,237.43
10/31/14,236.983
11/30/14,236.252
12/31/14,234.747
1/31/15,235.342
2/28/15,235.976
3/31/15,236.222
4/30/15,237.001
5/31/15,237.657
6/30/15,238.034
7/31/15,238.033
8/31/15,237.498
9/30/15,237.733
10/31/15,238.017
11/30/15,237.761
12/31/15,237.652
1/31/16,237.336
2/29/16,238.08
3/31/16,238.992
4/30/16,239.557
5/31/16,240.222
6/30/16,240.101
7/31/16,240.545
8/31/16,241.176
9/30/16,241.741
10/31/16,242.026
11/30/16,242.637
12/31/16,243.618
1/31/17,244.006
2/28/17,243.892
3/31/17,244.193
4/30/17,244.004
5/31/17,244.163
6/30/17,244.243
7/31/17,245.183
8/31/17,246.435
9/30/17,246.626
10/31/17,247.284
11/30/17,247.805
12/31/17,248.859
1/31/18,249.529
2/28/18,249.577
3/31/18,250.227
4/30/18,250.792
5/31/18,251.018
6/30/18,251.214
7/31/18,251.663
8/31/18,252.182
9/30/18,252.772
10/31/18,252.594
11/30/18,252.767
12/31/18,252.718
1/31/19,253.322
2/28/19,254.202
3/31/19,255.211
4/30/19,255.29
5/31/19,255.159
6/30/19,255.685
7/31/19,256.059
8/31/19,256.511
9/30/19,257.244
10/31/19,257.803
11/30/19,258.616
12/31/19,259.037
1/31/20,259.248
2/29/20,258.124
3/31/20,256.092
4/30/20,255.868
5/31/20,256.986
6/30/20,258.278
7/31/20,259.411
8/31/20,260.029
9/30/20,260.286
10/31/20,260.813
11/30/20,262.035
12/31/20,262.65
1/31/21,263.638
2/28/21,264.914
3/31/21,266.67
4/30/21,268.444
5/31/21,270.559
6/30/21,271.764
7/31/21,272.87
8/31/21,274.028
9/30/21,276.522
10/31/21,278.711
11/30/21,280.887
12/31/21,282.599
1/31/22,284.61
2/28/22,287.472
3/31/22,288.611
4/30/22,291.268
5/31/22,294.728
6/30/22,294.628
7/31/22,295.32
8/31/22,296.539
9/30/22,297.987
10/31/22,298.598
11/30/22,298.99
12/31/22,300.536
1/31/23,301.648
2/28/23,301.808
