DATE,FEDFUNDS
12/31/11,0.08
1/31/12,0.1
2/29/12,0.13
3/31/12,0.14
4/30/12,0.16
5/31/12,0.16
6/30/12,0.16
7/31/12,0.13
8/31/12,0.14
9/30/12,0.16
10/31/12,0.16
11/30/12,0.16
12/31/12,0.14
1/31/13,0.15
2/28/13,0.14
3/31/13,0.15
4/30/13,0.11
5/31/13,0.09
6/30/13,0.09
7/31/13,0.08
8/31/13,0.08
9/30/13,0.09
10/31/13,0.08
11/30/13,0.09
12/31/13,0.07
1/31/14,0.07
2/28/14,0.08
3/31/14,0.09
4/30/14,0.09
5/31/14,0.1
6/30/14,0.09
7/31/14,0.09
8/31/14,0.09
9/30/14,0.09
10/31/14,0.09
11/30/14,0.12
12/31/14,0.11
1/31/15,0.11
2/28/15,0.11
3/31/15,0.12
4/30/15,0.12
5/31/15,0.13
6/30/15,0.13
7/31/15,0.14
8/31/15,0.14
9/30/15,0.12
10/31/15,0.12
11/30/15,0.24
12/31/15,0.34
1/31/16,0.38
2/29/16,0.36
3/31/16,0.37
4/30/16,0.37
5/31/16,0.38
6/30/16,0.39
7/31/16,0.4
8/31/16,0.4
9/30/16,0.4
10/31/16,0.41
11/30/16,0.54
12/31/16,0.65
1/31/17,0.66
2/28/17,0.79
3/31/17,0.9
4/30/17,0.91
5/31/17,1.04
6/30/17,1.15
7/31/17,1.16
8/31/17,1.15
9/30/17,1.15
10/31/17,1.16
11/30/17,1.3
12/31/17,1.41
1/31/18,1.42
2/28/18,1.51
3/31/18,1.69
4/30/18,1.7
5/31/18,1.82
6/30/18,1.91
7/31/18,1.91
8/31/18,1.95
9/30/18,2.19
10/31/18,2.2
11/30/18,2.27
12/31/18,2.4
1/31/19,2.4
2/28/19,2.41
3/31/19,2.42
4/30/19,2.39
5/31/19,2.38
6/30/19,2.4
7/31/19,2.13
8/31/19,2.04
9/30/19,1.83
10/31/19,1.55
11/30/19,1.55
12/31/19,1.55
1/31/20,1.58
2/29/20,0.65
3/31/20,0.05
4/30/20,0.05
5/31/20,0.08
6/30/20,0.09
7/31/20,0.1
8/31/20,0.09
9/30/20,0.09
10/31/20,0.09
11/30/20,0.09
12/31/20,0.09
1/31/21,0.08
2/28/21,0.07
3/31/21,0.07
4/30/21,0.06
5/31/21,0.08
6/30/21,0.1
7/31/21,0.09
8/31/21,0.08
9/30/21,0.08
10/31/21,0.08
11/30/21,0.08
12/31/21,0.08
1/31/22,0.08
2/28/22,0.2
3/31/22,0.33
4/30/22,0.77
5/31/22,1.21
6/30/22,1.68
7/31/22,2.33
8/31/22,2.56
9/30/22,3.08
10/31/22,3.78
11/30/22,4.1
12/31/22,4.33
1/31/23,4.57
2/28/23,4.65
