DATE,UNRATE
12/31/11,8.3
1/31/12,8.3
2/29/12,8.2
3/31/12,8.2
4/30/12,8.2
5/31/12,8.2
6/30/12,8.2
7/31/12,8.1
8/31/12,7.8
9/30/12,7.8
10/31/12,7.7
11/30/12,7.9
12/31/12,8
1/31/13,7.7
2/28/13,7.5
3/31/13,7.6
4/30/13,7.5
5/31/13,7.5
6/30/13,7.3
7/31/13,7.2
8/31/13,7.2
9/30/13,7.2
10/31/13,6.9
11/30/13,6.7
12/31/13,6.6
1/31/14,6.7
2/28/14,6.7
3/31/14,6.2
4/30/14,6.3
5/31/14,6.1
6/30/14,6.2
7/31/14,6.1
8/31/14,5.9
9/30/14,5.7
10/31/14,5.8
11/30/14,5.6
12/31/14,5.7
1/31/15,5.5
2/28/15,5.4
3/31/15,5.4
4/30/15,5.6
5/31/15,5.3
6/30/15,5.2
7/31/15,5.1
8/31/15,5
9/30/15,5
10/31/15,5.1
11/30/15,5
12/31/15,4.8
1/31/16,4.9
2/29/16,5
3/31/16,5.1
4/30/16,4.8
5/31/16,4.9
6/30/16,4.8
7/31/16,4.9
8/31/16,5
9/30/16,4.9
10/31/16,4.7
11/30/16,4.7
12/31/16,4.7
1/31/17,4.6
2/28/17,4.4
3/31/17,4.4
4/30/17,4.4
5/31/17,4.3
6/30/17,4.3
7/31/17,4.4
8/31/17,4.3
9/30/17,4.2
10/31/17,4.2
11/30/17,4.1
12/31/17,4
1/31/18,4.1
2/28/18,4
3/31/18,4
4/30/18,3.8
5/31/18,4
6/30/18,3.8
7/31/18,3.8
8/31/18,3.7
9/30/18,3.8
10/31/18,3.8
11/30/18,3.9
12/31/18,4
1/31/19,3.8
2/28/19,3.8
3/31/19,3.6
4/30/19,3.7
5/31/19,3.6
6/30/19,3.7
7/31/19,3.7
8/31/19,3.5
9/30/19,3.6
10/31/19,3.6
11/30/19,3.6
12/31/19,3.5
1/31/20,3.5
2/29/20,4.4
3/31/20,14.7
4/30/20,13.2
5/31/20,11
6/30/20,10.2
7/31/20,8.4
8/31/20,7.9
9/30/20,6.9
10/31/20,6.7
11/30/20,6.7
12/31/20,6.3
1/31/21,6.2
2/28/21,6.1
3/31/21,6.1
4/30/21,5.8
5/31/21,5.9
6/30/21,5.4
7/31/21,5.2
8/31/21,4.8
9/30/21,4.5
10/31/21,4.2
11/30/21,3.9
12/31/21,4
1/31/22,3.8
2/28/22,3.6
3/31/22,3.6
4/30/22,3.6
5/31/22,3.6
6/30/22,3.5
7/31/22,3.7
8/31/22,3.5
9/30/22,3.7
10/31/22,3.6
11/30/22,3.5
12/31/22,3.4
1/31/23,3.6
2/28/23,3.5
